,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.7,0.7142857142857143,0.6774193548387096,0.7352941176470589,0.7076923076923077,0.801547619047619,0.29285714285714287
1,0.75,0.8,0.7627118644067796,0.7887323943661971,0.7769230769230769,0.8500000000000001,0.22499999999999998
2,0.7666666666666667,0.7571428571428571,0.7301587301587301,0.7910447761194029,0.7615384615384615,0.8492857142857143,0.23809523809523808
3,0.7833333333333333,0.8857142857142857,0.8545454545454545,0.8266666666666667,0.8384615384615385,0.883095238095238,0.1654761904761905
4,0.7833333333333333,0.8142857142857143,0.7833333333333333,0.8142857142857143,0.8,0.8767857142857144,0.2011904761904762
5,0.75,0.782608695652174,0.75,0.782608695652174,0.7674418604651163,0.8483091787439614,0.23369565217391303
6,0.6666666666666666,0.7681159420289855,0.7142857142857143,0.726027397260274,0.7209302325581395,0.7898550724637682,0.28260869565217395
7,0.8333333333333334,0.8115942028985508,0.7936507936507936,0.8484848484848485,0.8217054263565892,0.8926328502415459,0.17753623188405793
8,0.8305084745762712,0.855072463768116,0.8305084745762712,0.855072463768116,0.84375,0.9145173176123803,0.15720953082780642
9,0.8135593220338984,0.8405797101449275,0.8135593220338984,0.8405797101449275,0.828125,0.8760746745271432,0.17293048391058707
